text_id,raw_text
0,"Сіль технічна Сіль технічна, помол 3, з додаванням антизлежувача, фасування в поліпропіленові мішки по 50кг.
Відповідність вимог ДСТУ 4246:2003
Умови поставки - самовивозом зі складу постачальника в межах м. Києва у відповідності до заявок замовника 
Умови оплати - оплата по факту поставки Сіль технічна, помол 3, з додаванням антизлежувача, фасування в поліпропіленові мішки по 50кг.
Відповідність вимог ДСТУ 4246:2003"
1,"Піна монтажна (тест) Піна монтажна в балонах. 
Місце поставки - склад ВМТЗ за адресою Замовника. 
Поставка за рахунок Учасника. 
Оплта по факту поставки піна монтажна в балонах  по 0,75 л, 
якість - ДСТУ Б А.1.1-76:2007"
2,"диски DVD оптичні диски DVD. Ємність 4,7Гб, Швидкість запису 16х оптичні диски DVD. Ємність 4,7Гб, Швидкість запису 16х"
3,Папір А4 ТЕСТ ПАПІР   ПАПІР
4,Ремонт стекла Ремонт стекла а/м Хюндай Ремонт стекла а/м Хюндай
5,"Комплектуючі до комп'ютеру Комплектуючі до комп'ютеру Видеоплата, мережева карта, лінійка пам'яті, батарейки, тонер для принтеру."
6,гсм бензин А-95 бензин А-95
7,харчування послуги з харчування 10 чоловік з 20 травня по 07 червня 2015 року послуги з харчування 10 чловік з 20 травня по 07 червня 2015 року
8,"Кришки для віал LLG 4008258 Кришки №11 сині, з отвором, септа біла сілікон/червона ПТФЕ, твердість 45° край А, товщина 1,00 мм, 100 од. в упаковці LLG 4008258 Кришки №11 сині, з отвором, септа біла сілікон/червона ПТФЕ, твердість 45° край А, товщина 1,00 мм, 100 од. в упаковці"
9,"документ про вищу освіту документи про вищу освіту (диплом бакалавра, диплом бакалавра з відзнакою; диплом спеціаліста, диплом спеціаліста з відзнакою; диплом магістра, диплом магістра з відзнакою) документ про вищу освіту повинен відповідати формі затвердженою Міністерством освіти і науки України,також в документі про вищу освіту державного зразка має міститись перелік інформації згідно Постанови КМУ №193 від 31.03.2015р."
10,Масло вершкове Масло вершкове моноліт жирністю не менше 72% Масло вершкове моноліт жирністю не менше 72%
11,ГСМ бензин А-95 бензин А-95
12,"Штемпельна фарба 30 мл, фіолетова 30 мл, фіолетова"
13,"Металопрокат 1.	Лист х/к 1,5ммх1250х2500мм	Ст..3пс	т	1,500
2.	Лист х/к 3ммх1250х2500мм	Ст..3пс	т	2,000
3.	Кутник 25х25х4мм	Ст..3пс	т	1.500
4.	Кутник 35х35х4мм	Ст..3пс	т	2,200
5	Кутник 32х32х4мм	Ст..3пс	т	0,700
5.	Круг 12мм	Ст..3пс	т	0,800
6.	Круг 16мм	Ст..3пс	т	0,200
7.	Квадрат 14х14мм	Ст..3пс	т	0,600
8.	Труба 100х50х4мм	Ст..3пс	т	0,700
9.	Труба 40х25х2мм	Ст..3пс	т	0,250
10.	Труба ДУ 108х4мм	Ст..3пс	т	0,500 1.	Лист х/к 1,5ммх1250х2500мм	Ст..3пс	т	1,500
2.	Лист х/к 3ммх1250х2500мм	Ст..3пс	т	2,000
3.	Кутник 25х25х4мм	Ст..3пс	т	1.500
4.	Кутник 35х35х4мм	Ст..3пс	т	2,200
5	Кутник 32х32х4мм	Ст..3пс	т	0,700
5.	Круг 12мм	Ст..3пс	т	0,800
6.	Круг 16мм	Ст..3пс	т	0,200
7.	Квадрат 14х14мм	Ст..3пс	т	0,600
8.	Труба 100х50х4мм	Ст..3пс	т	0,700
9.	Труба 40х25х2мм	Ст..3пс	т	0,250
10.	Труба ДУ 108х4мм	Ст..3пс	т	0,500"
